Course code,Weighted Mean,Keywords
AE31009,45.077777777777776,"Tech, Core"
AG57003,44.888888888888886,"Core, Software, Mathematics, Optimization"
BT31014,44.73222222222222,Core
BT39008,44.723333333333336,"Tech, Core, Software, Mathematics"
AI61005,44.672407407407405,
MI21201,44.644444444444446,Core
ET60006,44.57222222222223,
CS40019,44.473888888888894,"Core, Software, ML"
SE60002,44.46333333333334,
NA48001,44.38222222222223,Core
EC47007,44.29555555555556,Core
IM31006,44.1162962962963,Tech
CY41014,44.05925925925926,Core
HS30096,44.01111111111111,Core
EX40006,44.0,Core
EX48018,44.0,"Core, Environment"
EX50017,43.99222222222223,Core
PH58044,43.90777777777779,Core
AG31003,43.84296296296296,"Core, Environment"
HS50019,43.75666666666667,Mathematics
NA39011,43.52,Core
AR10304,43.51555555555556,Core
CS61065,43.45555555555556,
PH51023,43.33333333333333,Core
EC60013,43.28,
AR13304,43.24222222222223,Core
ME22002,43.20666666666667,Core
EX58003,43.11111111111111,This input cannot be classified as it is too broad and does not provide enough information about the specific engineering course.
MI59001,43.11111111111111,Core
CY41201,43.11111111111111,Core
ME40107,43.08222222222222,Core
AR10302,42.97777777777778,Core
EX58004,42.888888888888886,Language
AR43203,42.858888888888885,Core
EC21103,42.83222222222222,Tech
AR20203,42.55444444444444,"Tech, Core"
AE58001,42.22222222222222,Language
IM47003,42.07666666666667,Core
GG59023,42.0,"Core, Software"
NA59007,42.0,Core
MA20008,41.978888888888896,Core
MA30006,41.82740740740741,Core
EE41013,41.76555555555556,Core
EC61201,41.65555555555556,
AG69014,41.55555555555556,
HS40085,41.364444444444445,Business
EX51007,41.333333333333336,"Core, Mathematics"
AR23301,41.32666666666666,Core
MA30002,41.2,Core
MA40003,41.13555555555556,Core
AE47006,41.11111111111111,"Core, Software, Mathematics"
AR33204,41.04111111111111,"Core, Business, Entrepreneurship"
MA20102,40.96888888888889,Core
MI60210,40.888888888888886,
AR33202,40.74777777777778,Core
GG49011,40.59222222222222,Core
AE31004,40.443333333333335,"Tech, Core"
MT31015,40.42962962962962,"Core, Engineering, Environment"
EC61203,40.383333333333326,
BT31201,40.29222222222222,Core
AE31103,40.27481481481482,"Tech, Core"
EX40010,40.22222222222222,Core
GG52007,40.22222222222222,"Tech, Core, Environment"
AG60063,40.22222222222222,
BT40009,40.10777777777778,"Core, Environment"
AR32004,40.10333333333334,"Core, Environment"
EX41004,40.0,Core
EX49004,40.0,Core
EE47002,40.0,"Tech, Core, Software"
EP60002,39.89037037037037,
EX40008,39.55555555555556,"Core, Tech"
AR42001,39.48444444444444,Environment
EP60046,39.34,
MA20103,39.32148148148148,Core
AR43201,39.193333333333335,Core
